years_exp,prior_exits,education_tier,success
9.363502971184062,3,3,1
23.767857660247905,2,2,1
18.299848545285126,4,3,1
14.966462104925915,0,2,1
3.900466011060913,4,1,1
3.8998630084050663,0,3,1
1.4520903042049866,1,1,0
21.654403644373378,0,3,1
15.02787529358022,3,1,1
17.70181444490114,2,3,0
0.5146123573950612,1,1,0
24.24774630404986,0,1,0
20.811066020010543,4,3,1
5.308477766956904,1,1,0
4.545624180177516,1,1,1
4.585112746335845,0,1,0
7.606056073988443,1,3,1
13.118910790805947,4,3,1
10.798625466052894,1,1,1
7.280728504951048,4,1,0
15.296322368059487,0,3,0
3.487346516301046,2,3,1
7.303616213380454,1,1,0
9.159046082342293,2,1,0
11.401749605425898,4,1,1
19.62939903482534,1,2,0
4.991844553958994,3,3,1
12.85586096034029,2,2,1
14.810364221551062,1,3,1
1.1612603179999432,2,3,1
15.18862129753596,1,3,0
4.263103092182289,0,3,0
1.626289824631988,2,3,1
23.72213843133333,3,3,1
24.140800826863984,3,3,1
20.209933702911528,4,2,1
7.6153442293342675,1,1,0
2.441802850159597,2,1,1
17.105825662803923,4,2,1
11.003812343490033,2,2,0
3.050955871119471,1,2,0
12.379422752781755,3,2,0
0.8597130278804599,0,3,1
22.73301005196955,3,1,1
6.469499540000423,4,3,1
16.56305710884955,0,1,0
7.792776902235274,4,1,1
13.00170052944527,1,2,0
13.667756983581992,0,3,1
4.621361388138176,4,2,1
24.239615694113965,1,3,1
19.378320584027865,3,1,1
23.487473539104727,1,2,1
22.37068376069122,2,2,0
14.947499470277128,1,1,1
23.046855875577922,1,1,1
2.2123125512979875,2,1,0
4.89957156047863,4,2,1
1.1306822227634516,4,3,1
8.133258269081608,1,2,1
9.71693224223705,2,3,1
6.783725794347398,2,2,1
20.718437728798232,3,2,1
8.918833167339733,4,1,1
7.023362742184519,0,3,1
13.567402078956212,4,2,0
3.523105624369066,4,2,1
20.054924518850992,3,1,0
1.8637660919942705,0,1,0
24.67217341501293,3,3,1
19.306119232416435,0,2,1
4.96789203835431,1,3,1
0.13805292809005998,0,2,0
20.386535711370854,3,3,1
17.67143359619043,4,1,1
18.225179201024684,0,2,1
19.281758667148644,0,3,0
1.8511162933522591,2,1,0
8.961643213606814,4,1,1
2.896726488128243,1,3,0
21.577585646889837,3,2,1
15.582453170688948,1,2,0
8.27245062131623,4,1,1
1.588958757150591,0,2,0
7.774558042891555,0,2,1
8.129583050668677,4,2,1
18.240154458451602,0,1,1
15.938936783880328,0,3,1
22.180318564408164,0,2,1
11.805373129048732,3,1,1
2.9898561484575428,3,1,0
17.831119680574876,2,3,0
19.019626215422434,1,2,1
14.031929939237406,4,2,0
19.274179498864026,4,3,1
12.344889909109769,4,3,1
13.068320734549852,2,1,1
10.68852545896374,3,1,1
0.6354781686023797,2,3,0
2.697285674832611,4,2,1
0.7857296421683563,1,1,1
15.91026028159451,0,1,1
7.858899526908167,3,2,1
12.71426727911757,3,1,1
22.689161848152324,2,2,1
6.232305728721873,3,2,1
10.259573075890744,4,2,1
18.888778463576216,4,3,1
5.719954137290562,2,3,1
1.9244977457198247,4,3,1
7.2437863228442,1,2,1
4.030532181350111,2,2,1
23.242441308564327,1,3,1
20.203009489110425,0,1,0
15.835093912760586,1,2,0
21.78651475469294,0,1,0
20.091801922477863,0,1,1
4.664251472150896,1,2,0
22.313974962249443,2,2,1
13.483556047891268,4,1,1
20.186003879101563,4,1,1
22.40228249808733,0,3,1
7.950086874296597,0,3,0
2.751298113191919,2,2,0
5.698379063548542,3,3,1
10.677694715656408,1,3,0
20.45036914806233,0,3,1
21.518264581408587,4,3,1
0.17380326327976758,2,1,0
12.768682564439143,1,2,0
10.435275078719474,2,3,1
5.552695261768256,1,1,0
2.99663418334207,1,1,1
8.4403792850907,0,1,0
23.57274259781298,2,3,1
8.080073300518881,2,3,1
12.969765543584153,4,2,1
17.575473972379445,4,3,1
9.09074005948235,0,3,0
24.294552068024018,0,1,1
24.061182373552782,3,2,1
6.294557395634104,4,3,1
12.431212647309636,1,3,1
7.5219577454192414,2,1,1
7.1210123594366905,0,1,1
0.9221736838633199,2,3,1
15.239108349497421,2,2,1
12.566975580721538,3,2,1
1.2869687812497337,4,1,0
6.9661616059152855,0,1,1
22.706647149166344,2,3,1
5.98904726667431,0,1,0
3.6223718022805773,1,3,1
12.236319006939075,3,2,1
24.641261352765017,1,2,1
6.05138178778751,0,3,1
16.803388685146963,0,1,0
19.04049038321794,4,2,1
5.940938599809992,2,1,0
18.20540871529649,2,2,0
9.19457831798133,1,3,1
15.807645764839487,3,3,1
15.838242769022367,2,3,1
13.394367101868962,4,2,0
2.2572442513602073,1,1,1
20.88256238973095,1,1,0
8.019501624293396,4,1,1
4.662962759996356,3,2,1
1.019378538869098,4,2,1
14.772323579706045,3,2,1
16.93910904605706,4,2,1
0.4146957231964038,4,2,1
12.802326457482025,0,1,0
5.662394379948449,1,2,0
16.129319760236246,4,2,0
4.359160725124786,4,1,1
17.273443452561647,2,2,0
9.668383657513434,1,1,0
23.418249718418362,2,1,1
3.4380236036498313,1,3,1
8.526658776256463,2,3,0
2.836838031014727,4,3,1
23.11734045696407,4,3,1
21.933483834524527,0,2,1
6.44854069287889,2,3,0
16.499601150854478,3,1,1
20.430555005030396,0,2,1
13.880020289986557,2,3,1
13.241264458900162,2,1,1
6.046307272511292,0,2,0
2.3275691951474804,4,2,1
22.430393948833167,2,3,1
22.51045142908326,4,2,1
15.827536431831698,0,1,0
8.475744776217518,4,2,1
8.730239365316523,1,1,0
18.148891971755983,3,2,1
22.42775649881443,2,3,1
22.177160606627933,3,1,1
19.496888646440595,4,2,1
16.050791153857194,2,2,1
2.1034991248762207,4,2,1
4.040717852365344,1,1,0
22.463854713176982,0,1,1
15.160726491489749,2,1,1
0.2299262904157412,1,3,0
2.5367885716508027,1,3,0
16.587544227701397,2,1,1
0.12653959615546717,4,2,1
4.020201285437467,1,3,1
13.718344734164653,3,1,1
17.29737994231733,1,2,1
16.299031487565014,4,3,1
5.606732736513995,4,2,1
17.8044805336884,3,2,1
5.931227187420002,1,2,1
8.134992453981694,4,2,1
18.662285127950604,2,3,1
16.240822476180366,0,3,1
21.23058526235445,0,3,0
16.440322307508584,0,1,1
14.207715083386791,1,3,1
2.341869195702312,3,2,1
9.192895076485838,4,3,1
6.630059192043136,2,2,1
6.099741084477089,2,1,1
24.32526386881114,1,2,1
9.82744311666901,0,2,0
22.301163879427833,1,2,1
15.778465649931572,3,1,1
19.87028258854121,3,3,1
12.565927327629803,4,3,1
14.422597115658977,4,1,0
12.312942345471598,3,2,1
4.881074694951113,3,3,1
18.06130288153763,3,1,1
7.019309061021395,1,3,0
0.607899160786346,3,1,0
16.136807397679195,2,2,1
4.427766985176223,0,3,0
23.51146460882286,3,1,1
23.848214425064683,0,3,1
22.871609755511212,1,3,0
9.25396750638611,0,3,0
0.3864154132216857,1,3,1
23.207964064693133,2,1,1
10.704603707932858,1,2,1
24.16637047609174,1,1,1
24.09049942723132,4,1,1
21.325236386684,3,1,1
7.361222301739642,3,2,1
9.627443215048132,2,3,1
21.278416787921422,2,3,1
7.923050128906942,3,3,1
4.237318667152312,4,2,1
13.920031561458753,3,3,0
23.403869354019523,4,2,1
17.400744916874324,2,3,1
14.251529252234125,0,3,0
2.4294123442692133,2,1,0
15.375180667479244,2,2,0
24.75134625260658,1,1,1
3.5021003809131006,1,1,0
12.958241309093419,1,1,1
21.934326798198885,1,2,1
18.51921544385511,4,2,1
17.4253935248817,3,3,1
17.56210209967773,0,1,0
8.98727878049388,2,3,0
7.339796106612334,4,1,1
20.23402888696284,0,2,1
20.25283486697952,4,2,0
21.676807964502594,4,2,1
22.83101381391178,2,1,0
12.783559971523445,3,2,0
12.53790736717999,1,1,0
19.95737947416938,3,3,0
16.24909826944413,2,1,1
17.549171931442583,2,3,1
19.894816735902527,2,1,1
22.25013354543916,0,3,1
8.449878921288395,3,2,1
9.3895738159986,3,3,1
2.349548496021725,4,2,1
14.45700352490435,4,2,1
0.8985568449185521,4,3,1
11.639950453311505,2,1,0
13.566115867689415,3,1,1
7.16353130320711,2,1,1
14.770831514225268,0,1,0
0.7625062484762357,4,1,1
0.9337047187303604,2,2,1
20.565014016491457,2,1,0
9.004766035281571,0,2,1
3.1765128162971195,1,2,0
13.056081501370109,3,2,0
19.249838827465272,1,3,1
5.395525687421079,4,3,1
15.572261895475007,2,2,1
2.1336866248442,0,3,1
1.2920430292151925,0,1,0
13.2838657892037,3,1,1
13.515878040252662,1,2,1
15.935747537455164,3,1,0
18.15228334306654,2,2,1
24.396301986563365,3,2,1
12.907508707529884,0,1,0
8.07391182353115,0,3,0
19.879654869217593,4,1,1
6.770806281551856,4,1,1
10.974285517640903,2,2,0
1.9614095335566488,1,2,0
0.6337685853864378,3,2,1
24.066210366948127,2,2,1
20.899503012805145,4,3,1
17.399355152342448,3,3,1
10.223823610356748,4,3,1
4.332358001771144,3,2,1
3.9109260667771513,1,2,1
6.256072454114883,2,2,0
13.730666617653013,3,3,0
17.86489806750156,0,2,0
16.504934417943282,0,1,0
6.998347423648571,3,1,1
23.871632016579852,3,2,0
18.447422917394213,3,1,1
13.858851312785017,0,1,0
15.293018655858805,0,3,0
10.490001560694747,3,2,1
6.193274737528936,4,2,0
8.899316966281539,4,3,1
18.946152761609227,1,1,1
0.3598372157438967,2,1,1
2.901816012672906,4,2,1
1.1500660505438187,0,1,1
1.0182200579742533,4,3,1
21.38651460027518,1,3,0
17.59144648450059,1,2,1
11.85434572718313,2,3,0
2.445854016275037,4,3,1
12.29039687792081,0,2,0
11.836794269514142,0,3,0
4.330046747750379,3,3,1
10.846291230949326,0,3,0
9.962618359934336,2,1,0
15.396252451305411,2,2,1
15.877341271691096,0,2,0
1.132600244301113,0,2,0
